testing logger
TEBDEngine: subconfig 'trunc_params'=Config(<2 options>, 'trunc_params')
TEBDEngine: reading 'dt'=0.1
TEBDEngine: reading 'N_steps'=1
TEBDEngine: reading 'order'=4
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
trunc_params: reading 'chi_max'=100
trunc_params: reading 'svd_min'=1e-12
--> time=17.900, max(chi)=32, max(S)=1.74097, avg DeltaS=-1.1241e-02, since last update: 0.0s
--> time=18.000, max(chi)=32, max(S)=1.72212, avg DeltaS=-1.2382e-02, since last update: 0.0s
--> time=18.100, max(chi)=32, max(S)=1.70306, avg DeltaS=-1.3255e-02, since last update: 0.0s
--> time=18.200, max(chi)=32, max(S)=1.68430, avg DeltaS=-1.3824e-02, since last update: 0.0s
--> time=18.300, max(chi)=32, max(S)=1.66636, avg DeltaS=-1.4057e-02, since last update: 0.0s
--> time=18.400, max(chi)=32, max(S)=1.64979, avg DeltaS=-1.3927e-02, since last update: 0.0s
--> time=18.500, max(chi)=32, max(S)=1.63508, avg DeltaS=-1.3415e-02, since last update: 0.0s
--> time=18.600, max(chi)=32, max(S)=1.62271, avg DeltaS=-1.2511e-02, since last update: 0.0s
--> time=18.700, max(chi)=32, max(S)=1.61307, avg DeltaS=-1.1219e-02, since last update: 0.0s
--> time=18.800, max(chi)=32, max(S)=1.60646, avg DeltaS=-9.5590e-03, since last update: 0.0s
--> time=18.900, max(chi)=32, max(S)=1.60299, avg DeltaS=-7.5721e-03, since last update: 0.0s
--> time=19.000, max(chi)=32, max(S)=1.60266, avg DeltaS=-5.3208e-03, since last update: 0.0s
--> time=19.100, max(chi)=32, max(S)=1.60529, avg DeltaS=-2.8869e-03, since last update: 0.0s
--> time=19.200, max(chi)=32, max(S)=1.61060, avg DeltaS=-3.6509e-04, since last update: 0.0s
--> time=19.300, max(chi)=32, max(S)=1.61823, avg DeltaS=2.1461e-03, since last update: 0.0s
--> time=19.400, max(chi)=32, max(S)=1.62780, avg DeltaS=4.5539e-03, since last update: 0.0s
--> time=19.500, max(chi)=32, max(S)=1.63892, avg DeltaS=6.7775e-03, since last update: 0.0s
